APPAREL,,,,,,,,,,
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
AIRS-T1016-XL,Women's V-Neck T-Shirt,T-Shirt,F,XL,4,36%,0,$40.00 ,$160.00 ,36%
AIRS-T1016-XXL,Women's V-Neck T-Shirt,T-Shirt,F,2XL,1,9%,0,$40.00 ,$40.00 ,9%
SUBTOTAL,Women's V-Neck T-Shirt,T-Shirt,F,,11,16%,0,$40.00 ,$440.00 ,14%
,,,,,,,,,,
AIRS-TOUR-HOOD1003-S,Balloon Arch Hoodie,Sweatshirt,U,S,1,33%,0,$75.00 ,$75.00 ,33%
AIRS-TOUR-HOOD1003-M,Balloon Arch Hoodie,Sweatshirt,U,M,1,33%,0,$75.00 ,$75.00 ,33%
AIRS-TOUR-HOOD1003-L,Balloon Arch Hoodie,Sweatshirt,U,L,1,33%,0,$75.00 ,$75.00 ,33%
AIRS-TOUR-HOOD1003-XL,Balloon Arch Hoodie,Sweatshirt,U,XL,0,0%,0,$0.00 ,$0.00 ,0%
AIRS-TOUR-HOOD1003-XXL,Balloon Arch Hoodie,Sweatshirt,U,2XL,0,0%,0,$0.00 ,$0.00 ,0%
AIRS-TOUR-HOOD1003-3XL,Balloon Arch Hoodie,Sweatshirt,U,3XL,0,0%,0,$0.00 ,$0.00 ,0%
SUBTOTAL,Balloon Arch Hoodie,Sweatshirt,U,,3,4%,0,$75.00 ,$225.00 ,7%
,,,,,,,,,,
AIRS-JACK1001-S,50th Anniversary Denim Jacket,Jacket,U,S,0,0%,0,$0.00 ,$0.00 ,0%
AIRS-JACK1001-M,50th Anniversary Denim Jacket,Jacket,U,M,0,0%,0,$0.00 ,$0.00 ,0%
AIRS-JACK1001-L,50th Anniversary Denim Jacket,Jacket,U,L,1,25%,0,$150.00 ,$150.00 ,25%
AIRS-JACK1001-XL,50th Anniversary Denim Jacket,Jacket,U,XL,3,75%,0,$150.00 ,$450.00 ,75%
AIRS-JACK1001-XXL,50th Anniversary Denim Jacket,Jacket,U,2XL,0,0%,0,$0.00 ,$0.00 ,0%
SUBTOTAL,50th Anniversary Denim Jacket,Jacket,U,,4,6%,0,$150.00 ,$600.00 ,19%
,,,,,,,,,,
TOTAL APPAREL,,,,,62,93%,0,,"$3,025.00 ",97%
,,,,,,,,,,
,,,,,,,,,,
OTHER,,,,,,,,,,
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
AIRS-ACC1008,Distressed Logo Tote,Bag,,,1,1%,0,$30.00 ,$30.00 ,1%
AIRS-ACC1009,Jazzy Balloon Magnet,Magnet,,,1,1%,0,$10.00 ,$10.00 ,0%
AIRS-TOUR-ACC1001,Red Logo Lanyards '24,Lanyard,,,1,1%,0,$10.00 ,$10.00 ,0%
AIRS-ACC1005,Logo Bandana 24',Bandana,,,2,3%,0,$20.00 ,$40.00 ,1%
AIRS-ACC1006,KOALA MAGNET 24',Accessories,,,0,0%,0,$0.00 ,$0.00 ,0%
,,,,,,,,,,
TOTAL OTHER,,,,,5,7%,0,,$90.00 ,3%
,,,,,,,,,,
,,,,,,,,,,
MUSIC,,,,,,,,,,
UPC,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
,,,,,,,,,,
