APPAREL
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total

AIRS-TOUR-HOOD1003-S,Balloon Arch Hoodie,Sweatshirt,U,S,1,11%,0,$75.00,$75.00,11%
AIRS-TOUR-HOOD1003-M,Balloon Arch Hoodie,Sweatshirt,U,M,1,11%,0,$75.00,$75.00,11%
AIRS-TOUR-HOOD1003-L,Balloon Arch Hoodie,Sweatshirt,U,L,1,11%,0,$75.00,$75.00,11%
AIRS-TOUR-HOOD1003-XL,Balloon Arch Hoodie,Sweatshirt,U,XL,2,22%,0,$75.00,$150.00,22%
AIRS-TOUR-HOOD1003-XXL,Balloon Arch Hoodie,Sweatshirt,U,2XL,1,11%,0,$75.00,$75.00,11%
AIRS-TOUR-HOOD1003-3XL,Balloon Arch Hoodie,Sweatshirt,U,3XL,3,33%,0,$75.00,$225.00,33%
SUBTOTAL,Balloon Arch Hoodie,Sweatshirt,U,"",9,5%,0,$75.00,$675.00,8%

AIRS-JACK1001-S,50th Anniversary Denim Jacket,Jacket,U,S,5,36%,0,$150.00,$750.00,36%
AIRS-JACK1001-M,50th Anniversary Denim Jacket,Jacket,U,M,3,21%,0,$150.00,$450.00,21%
AIRS-JACK1001-L,50th Anniversary Denim Jacket,Jacket,U,L,1,7%,0,$150.00,$150.00,7%
AIRS-JACK1001-XL,50th Anniversary Denim Jacket,Jacket,U,XL,3,21%,0,$150.00,$450.00,21%
AIRS-JACK1001-XXL,50th Anniversary Denim Jacket,Jacket,U,2XL,2,14%,0,$150.00,$300.00,14%
SUBTOTAL,50th Anniversary Denim Jacket,Jacket,U,"",14,8%,0,$150.00,"$2,100.00",25%

TOTAL APPAREL,"","","","",155,87%,2,"","$8,055.00",95%


OTHER
SKU,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total
AIRS-ACC1008,Distressed Logo Tote,Bag,"",,10,6%,0,$30.00,$300.00,4%
AIRS-ACC1009,Jazzy Balloon Magnet,Magnet,"",,10,6%,0,$10.00,$100.00,1%
AIRS-TOUR-ACC1001,Red Logo Lanyards '24,Lanyard,"",,3,2%,0,$10.00,$30.00,0%
AIRS-ACC1005,Logo Bandana 24',Bandana,"",,0,0%,0,$0.00,$0.00,0%
AIRS-ACC1006,KOALA MAGNET 24',Accessories,"",,0,0%,0,$0.00,$0.00,0%

TOTAL OTHER,"","","","",23,13%,0,"",$430.00,5%


MUSIC
UPC,Name,Type,Sex,Size,Sold,Unit % of Total,Comp,Avg. Price,Gross Rev,% of Total

TOTAL MUSIC,"","","","",0,0%,0,"",$0.00,0%

GRAND TOTAL,"","","","",178,"",2,"","$8,485.00"
