artistName,Genre,showDate,HolidayStatus,venue name,venue city,venue state,venue country,venue postalCode,merch category,productType,product size,attendance,product price,temperature_daily_mean,rain,snowfall,spotifyMonthlyListeners,Instagram,venue capacity,spotifyMissing
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,2024 Tour Koala T-Shirt,T-Shirt,2XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Inventory Forecast Includes: On Hand + In Transit,nan,nan,0,,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,50th Anniversary Tour Date T-Shirt 2026,T-Shirt,S,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,50th Anniversary Tour Date T-Shirt 2026,T-Shirt,M,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,50th Anniversary Tour Date T-Shirt 2026,T-Shirt,L,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,50th Anniversary Tour Date T-Shirt 2026,T-Shirt,XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,50th Anniversary Tour Date T-Shirt 2026,T-Shirt,2XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,50th Anniversary Tour Date T-Shirt 2026,T-Shirt,3XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Balloon Arch Tee,T-Shirt,S,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Balloon Arch Tee,T-Shirt,M,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Balloon Arch Tee,T-Shirt,L,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Balloon Arch Tee,T-Shirt,XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Balloon Arch Tee,T-Shirt,2XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Balloon Arch Tee,T-Shirt,3XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Jazzy Balloon Tee,T-Shirt,S,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Jazzy Balloon Tee,T-Shirt,M,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Jazzy Balloon Tee,T-Shirt,L,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Jazzy Balloon Tee,T-Shirt,XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Jazzy Balloon Tee,T-Shirt,2XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Jazzy Balloon Tee,T-Shirt,3XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Est. 1975 Guitar T-Shirt,T-Shirt,S,720,40.0,15.0,0.0,0.0,9197653,347,900,0
